Crop,Total_Cost_INR,Profit,Temperature_C,Rainfall_mm,Area_Hectare
Wheat,235067.05,485862.95,29.62,2043.79,8.17
Wheat,51924.46,82895.54,37.3,2099.91,2.05
Potato,290656.07,2385583.93,38.76,1149.47,10.93
Potato,226271.39,1881528.61,12.29,866.59,8.76
Rice,24880.16,57839.84,36.48,1616.17,0.91
Rice,212451.95,601328.05,27.7,2233.87,7.17
Maize,173495.21,435984.79,18.66,1896.54,6.02
Maize,288007.03,695512.97,29.27,1338.79,10.38
Maize,55782.25,120437.75,39.88,1957.04,1.91
Maize,206939.53,374280.47,19.73,1818.87,7.29
Sugarcane,108415.8,885794.2,19.75,2308.71,4.07
Sugarcane,82548.54,722626.46,31.57,879.83,3.32
Rice,21135.62,54544.38,13.21,562.49,0.76
Wheat,124228.89,237181.11,34.98,1334.11,4.32
Potato,140784.34,1091255.66,30.27,1094.38,5.06
Wheat,143535.87,311324.13,35.55,2444.69,5.65
Cotton,301190.27,1321859.73,18.46,316.51,8.95
Sugarcane,134525.4,1112139.6,35.72,2353.44,5.14
Maize,77472.43,180467.57,24.56,2401.17,2.75
Maize,123977.6,408822.4,15.72,412.11,5.08
Cotton,38458.83,162841.17,37.24,2257.05,1.3
Wheat,230630.49,632679.51,31.74,1335.71,11.68
Maize,34490.46,91689.54,16.71,1985.53,1.26
Wheat,65171.26,145458.74,18.9,474.36,2.82
Potato,141547.93,1161532.07,19.53,2401.45,5.42
Cotton,290573.1,1458976.9,38.97,1636.61,11.23
Wheat,57978.25,107081.75,36.81,2277.13,2.56
Potato,148795.6,1106644.4,21.7,1780.52,5.1
Wheat,365472.57,688097.43,25.07,1480.98,11.88
Wheat,209540.32,243219.68,19.99,679.49,7.42
Maize,198552.65,279167.35,32.79,691.5,7.57
Rice,362102.3,527357.7,16.51,1339.65,11.7
Sugarcane,151676.21,1397318.79,21.48,2214.97,6.32
Wheat,18041.3,34458.7,28.97,553.48,0.53
Wheat,24771.05,51458.95,36.57,2496.45,0.86
Wheat,274274.64,491595.36,29.8,2227.01,8.34
Rice,90890.89,227889.11,38.31,1163.63,2.93
Potato,166205.58,1288794.42,38.06,856.86,6
Cotton,255375.48,273724.52,32.11,2328.39,6.84
Maize,183105.64,670274.36,19.8,571.07,8.17
Rice,40181.93,95118.07,31.13,1064.04,1.46
Potato,242136.61,1914143.39,17.4,484.61,9.24
Wheat,274790.11,566259.89,21.33,2397.62,11.08
Potato,91732.9,751267.1,33.22,1658.77,3.44
Rice,140964.19,343915.81,35.82,1039.6,4.88
Rice,251136.7,659223.3,23.67,906.06,9.05
Rice,110348.45,221191.55,26.66,1277.01,3.36
Cotton,191242.86,987407.14,22.81,501.03,6.74
Sugarcane,227207.94,1730342.06,25.42,2256.57,8.09
Maize,305004.84,688235.16,26.35,1424.07,10.61
Cotton,112670.5,580329.5,31.37,1895.22,4.47
Cotton,174738.31,712411.69,33.01,814.24,6.17
Sugarcane,71399.44,576940.56,39.3,1408.25,2.62
Cotton,102337.52,476262.48,24.25,764.39,4.04
Rice,44155.88,106984.12,14.33,2095.41,1.59
Rice,68931.84,185388.16,31.27,2005.61,2.77
Potato,103942.82,928057.18,25.95,626.05,4.48
Wheat,174498.8,218411.2,35.55,463.92,5.38
Cotton,308621.21,587328.79,16.1,2113.23,8.63
Wheat,169213.59,284386.41,30.06,541.23,5.77
Maize,35296.33,45703.67,24.86,1506.66,1.06
Rice,232541.96,685738.04,23.74,1475.87,9.19
Potato,164684.18,1409835.82,27.82,746.48,6.63
Maize,269610.16,910109.84,31.16,1600.98,11.3
Potato,220596.36,1680563.64,35.83,1406.06,7.81
Sugarcane,223985.16,1416534.84,18.58,1420.22,6.64
Rice,101725,285915,20.21,1091.34,3.89
Maize,80119.63,248380.37,27.36,2144.54,3.22
Sugarcane,94726.07,677303.93,21.7,485.62,3.15
Maize,127592.61,317367.39,27.91,1264.97,5.18
Potato,64551.01,520928.99,17.6,871.6,2.47
Sugarcane,334684.03,2176775.97,20.61,2166.55,10.21
Sugarcane,326440.91,2073019.09,21.1,795.18,9.76
Rice,219954.72,682925.28,39.78,1987.45,8.88
Wheat,27801.6,57668.4,35.92,1645.33,1.06
Potato,29767.36,291232.64,35.46,2224.54,1.33
Potato,236729.14,1600470.86,26.38,1606.35,7.82
Sugarcane,234671.59,1999728.41,25.07,1524.27,9.11
Sugarcane,23031.55,174963.45,13.96,2062.49,0.81
Rice,95621.57,277278.43,17.53,1537.47,3.84
Wheat,68780.51,54699.49,37.07,2157.99,2.07
Potato,101846.46,663993.54,26.72,408.5,3.16
Cotton,166140.43,481209.57,39.65,1389.33,6.46
Cotton,54435.65,123764.35,28.57,2087.92,1.76
Wheat,88055.67,175704.33,22.57,2166.4,3.14
Maize,196285.98,354514.02,19.68,2134.92,7
Rice,170567.94,511212.06,37.71,1629.64,6.34
Wheat,370786.9,371563.1,22.38,2486.74,10.36
Cotton,52414.27,289135.73,16.09,699.05,2.23
Sugarcane,115465.97,1037119.03,19.79,683.81,4.75
Cotton,337566.57,1033583.43,30.08,372.21,11.13
Sugarcane,352045.49,2025049.51,15.72,2476.54,9.65
Rice,208199.97,501740.03,14.56,1065.65,7.37
Sugarcane,285060.41,1987979.59,24.81,1976.52,9.34
Wheat,177197.15,301182.85,14.34,431.36,5.66
Sugarcane,301098.19,2337761.81,23,957.11,10.97
Maize,215973.2,552086.8,21.04,1672.46,7.4
Wheat,239703.8,338426.2,22.96,1454.52,8.5
Rice,216549.54,707670.46,25.66,757.05,8
Wheat,212517.16,507782.84,17.19,1315.5,8.24
Maize,238152.8,477167.2,24.39,539.32,7.87
Rice,33426.84,106713.16,22.12,1493.95,1.35
Cotton,186913.93,463736.07,34.27,513.27,7.44
Maize,297819.2,524960.8,31.45,1699.06,9.51
Rice,14602.34,32257.66,36.43,641.79,0.5
Sugarcane,292051.53,2348348.47,30.73,1503.59,10.75
Wheat,365889.96,543200.04,15.39,584.07,11.45
Rice,50688.6,137851.4,26.2,1181.56,1.97
Wheat,165005.68,332904.32,32.79,1074.03,6.65
Sugarcane,55568.88,377486.12,35.57,1964.1,1.77
Rice,104124.54,265915.46,17.08,1710.56,3.75
Cotton,210777.88,991522.12,18.26,2361.6,7.65
Maize,129514.07,256585.93,36.14,2328.2,3.98
Rice,136076.03,351883.97,25.59,1894.99,4.7
Sugarcane,263034.01,1985855.99,24.67,1995.29,9.08
Rice,178494.73,563125.27,25.84,1674.81,7.11
Wheat,151444.26,371665.74,16.85,1821.66,6.46
Potato,139223.02,894576.98,29.57,1657.89,4.23
Rice,167978.42,667801.58,34.62,985.88,8.6
Cotton,139837.53,600462.47,35.44,1071.52,5.38
Rice,345528.34,885371.66,12.85,1564.41,10.84
Maize,278302.65,428017.35,32.03,1884.39,7.42
Rice,217766.66,495693.34,14.55,1193.46,6.69
Potato,332189.47,2078490.53,39.07,613.87,9.74
Wheat,205337.51,394632.49,25.5,1310.72,6.08
Rice,106056.6,188523.4,33.71,2419.01,3.71
Cotton,58376.1,150623.9,29.41,770.99,2.28
Sugarcane,211807.77,1479672.23,38.65,1727.95,6.96
Rice,177242.56,253737.44,39.26,2461.59,5.39
Rice,109565.15,585414.85,19.81,1127.72,5.07
Maize,104051.55,365388.45,25.52,2253.34,4.52
Cotton,241465.7,767234.3,26.12,2200.82,8.22
Potato,163874.34,1393845.66,16.98,1045.9,6.47
Sugarcane,227706.4,1399408.6,37.31,516.74,6.68
Wheat,120674.1,150015.9,21.79,692.79,4.04
Rice,201502.02,361697.98,14.45,1104.65,7.56
Potato,149670.18,1028609.82,16.33,2410.1,5.14
Sugarcane,199058.61,2104501.39,26.37,903.79,9.35
Wheat,196946.63,289623.37,36.69,2339.1,6.59
Potato,91682.69,806037.31,29.59,699,3.83
Cotton,67670.07,346479.93,18.02,2433.59,2.2
Cotton,179461.99,1088838.01,20.31,945.93,8.55
Sugarcane,124825.87,1054114.13,39.33,1692.8,4.77
Wheat,30404.31,60315.69,13.48,453.32,1.25
Cotton,276372.76,1574377.24,39.84,959.26,11.02
Sugarcane,121017.25,1096702.75,37.36,763.56,4.95
Cotton,291709.26,606990.74,31,307.52,9.08
Cotton,172564.83,622185.17,38.41,644.89,5.78
Potato,288593.97,2165406.03,16.27,1604.83,10.75
Potato,21779.77,176220.23,38.39,1157.82,0.83
Cotton,83703.47,320546.53,17.95,1889.66,3.48
Maize,148113.37,511766.63,27.29,1776.36,6.78
Potato,99158,904402,25.69,2058.46,4.22
Wheat,245394.32,593765.68,26.35,2207.46,9.04
Sugarcane,181603.5,1877516.5,19.49,2103.62,8.42
Sugarcane,24806.73,168988.27,33.86,1285.73,0.79
Wheat,172376.86,450273.14,32.79,979.2,7.41
Wheat,176521.85,592918.15,38.71,1405.07,10.11
Wheat,103341.05,280328.95,26.2,1477.28,4.13
Wheat,75005.16,112104.84,27.35,988.98,2.1
Rice,299916.47,626723.53,37.29,1488.01,8.99
Sugarcane,322094.59,2326495.41,37.74,532.72,10.85
Rice,245845.81,449134.19,30.19,808.29,8.05
Cotton,298612.82,1112137.18,34.97,1941.31,10.23
Cotton,242418.69,1364131.31,26.14,702.23,11.98
Sugarcane,189492.42,1330032.58,22.87,605.88,6.24
Cotton,343185.2,1113214.8,36.19,932.16,11.26
Wheat,128957.21,170292.79,33.76,1116.31,4.46
Rice,240262.44,818597.56,18.79,1022.81,9.07
Wheat,280223.58,699636.42,13.33,1124.13,10.87
Cotton,180651.62,484298.38,27.84,607.81,6.49
Potato,215142.86,1644737.14,35.57,663.87,7.7
Rice,327887.61,570152.39,18.92,818.84,11.66
Wheat,113240.35,145899.65,33.49,1184.38,3.39
Sugarcane,139759.77,983075.23,23.59,1038.98,4.59
Wheat,260574.33,411845.67,21.4,2040.94,9.38
Potato,102956.28,935403.72,16.84,1456.14,4.42
Cotton,185947.07,714402.93,38.16,1566.54,6.26
Rice,29584.43,71615.57,18.32,1533.3,1.08
Sugarcane,147125.8,1575224.2,19.82,1177.31,7
Rice,225851.03,650408.97,21.28,2457.06,7.71
Sugarcane,39957.94,316167.06,19.97,382.12,1.45
Rice,93499.7,282480.3,16.56,774.84,3.3
Cotton,153706.95,485943.05,21.92,926.24,5.48
Sugarcane,263446.65,2059083.35,25.21,2238.86,9.48
Maize,20713.5,56866.5,27.45,2321.51,0.75
Rice,146166.4,270513.6,16.38,2161.43,4.31
Rice,14235.47,42964.53,33.82,1217.29,0.56
Wheat,200279.68,248280.32,20.72,2312.17,6.49
Sugarcane,149713.68,1397391.32,37.7,516.72,6.24
Potato,252742.62,1911097.38,21.23,1735.36,9.19
Maize,16735.62,35644.38,36.16,2361.89,0.55
Cotton,240541.37,851758.63,21.87,1960.78,9.23
Wheat,292427.6,426192.4,26.16,911.31,10.75
Maize,134681.76,269418.24,22.43,1878.51,4.15
Sugarcane,138980.91,937514.09,22.84,948.48,4.34
Maize,12414.11,31865.89,29.32,545.48,0.51
Rice,164319.22,310220.78,31.4,1877.89,5.43
Rice,230470.25,468029.75,36.37,694.3,7.55
Wheat,52861.77,92248.23,27.93,544.34,1.91
Sugarcane,218389.87,1762015.13,18.07,1513.87,8.06
Sugarcane,113332.72,1024797.28,39.71,1665.38,4.71
Maize,264806.63,590013.37,31.15,412.32,8.24
Wheat,87317.26,232302.74,22.49,309.83,3.39
Sugarcane,334276.76,1977333.24,39.11,2240.55,9.41
Potato,204909.58,1384490.42,38.84,553.56,6.81
Potato,205463.47,1428936.53,14.23,1584.58,6.63
Rice,158037.72,414622.28,12.56,2397.8,6.11
Maize,333696.64,634883.36,13.24,1426.2,10.18
Cotton,161751.24,773248.76,31.19,607.56,6.87
Rice,64018.03,136621.97,31.9,1165.67,2.34
Wheat,218925.75,552824.25,32.27,1672.89,7.7
Sugarcane,188164.36,1367515.64,29.65,1978.25,6.41
Rice,38464.08,89355.92,19.99,1635.26,1.29
Cotton,188969.48,827430.52,16.68,375.49,7.18
Cotton,40960.11,155389.89,37.98,614.83,1.41
Potato,259285.19,1875274.81,37.57,1117.96,8.84
Wheat,180769.97,460570.03,18.79,1852.57,8.03
Rice,142277.08,495062.92,16.7,1585.52,6.17
Maize,220513.11,550606.89,22.51,398.33,9.11
Rice,117083.3,203896.7,13.36,2053.15,3.73
Potato,135272.87,1253607.13,16.54,1631.27,5.63
Cotton,22723.32,79576.68,22.65,2251.73,0.68
Wheat,344466.12,583103.88,18.68,1218.84,11.87
Wheat,29517.69,78212.31,32.63,1378.44,1.15
Maize,35355.46,131684.54,37.34,1192.21,1.7
Wheat,123540.13,417839.87,37.46,1889.4,6.19
Potato,105659.09,1094100.91,28.92,1954.69,4.82
Potato,134525.51,1459674.49,31.7,1891.13,6.62
Potato,311235.56,2089964.44,25.83,941.52,10.1
Wheat,70986.9,103943.1,16.11,1699.27,2.32
Wheat,178412.22,274557.78,29.78,1044.76,7.85
Potato,24171.64,141788.36,21.8,2135.24,0.71
Wheat,230085.77,611174.23,12.16,421.26,9.59
Wheat,279622.62,423877.38,28.1,382.99,9.88
Cotton,139297.72,473952.28,17.55,523.76,4.86
Rice,56582.53,209617.47,36.82,745.2,2.49
Sugarcane,223953.66,2186706.34,38.15,382.8,9.83
Wheat,320981.27,575508.73,16.54,457.56,10.96
Sugarcane,38831.75,300073.25,12.82,973.32,1.37
Sugarcane,211806.69,1554188.31,12.11,519.54,7.17
Cotton,252573.59,653826.41,37.57,2064.56,11.29
Wheat,234273.78,529916.22,16.26,418.51,7.9
Potato,264101.8,2100378.2,24.19,2297.44,9.93
Sugarcane,83699.94,689100.06,13.6,2215.85,3.14
Wheat,59462.13,78087.87,22.45,758.45,1.68
Maize,139096.6,277423.4,33.99,457.36,4.83
Potato,119845.95,1102594.05,23.39,532.18,5.04
Maize,291828.83,549671.17,33.72,1529.99,9.54
Maize,120444.5,346115.5,31.29,1622.01,5.17
Sugarcane,90834.6,702160.4,26.48,994.28,3.22
Maize,310792.96,617827.04,32.66,953.03,10.69
Cotton,280565.3,511434.7,36.62,1469.3,9.5
Cotton,152640.16,778509.84,34.2,972.38,8.17
Sugarcane,63324.1,648645.9,31.37,2355.5,2.88
Wheat,68924.8,188115.2,31.65,1141.79,2.86
Rice,177905.16,464714.84,16.51,783.59,6.15
Wheat,203836.36,349723.64,38.62,621.12,6.61
Wheat,111271.92,236278.08,17.76,1689.76,3.45
Wheat,55159.14,123550.86,21.77,1018.66,1.92
Wheat,109351.42,226438.58,26.5,715.35,4.68
Potato,114547.13,1203652.87,15.53,906.79,5.43
Rice,31370.83,85009.17,28.62,977.34,1.1
Potato,193316.09,1454523.91,17.11,1676.83,6.99
Maize,15617.93,34962.07,37.85,684.3,0.52
Wheat,46582.74,113647.26,36.88,1912.17,2.24
Cotton,72040.75,224959.25,27.24,970.74,2.19
Sugarcane,243076.9,1814573.1,24.59,1374.28,8.41
Sugarcane,182398.44,1323091.56,14.87,1740.65,6.09
Potato,252417.35,2234102.65,35.05,1495.96,10.11
Potato,97105.79,735334.21,22.62,1756.91,3.55
Cotton,78056.53,487343.47,18.9,1009.71,2.92
Wheat,320243.62,523326.38,39.87,2419.59,9.73
Rice,161293.84,306206.16,30.71,1309.78,5.61
Maize,100600.56,209719.44,14.07,1008.25,3.65
Sugarcane,176250.38,1112659.62,34.44,952.07,5.31
Maize,155670.51,325649.49,33.01,393.93,5.39
Rice,229018.27,607421.73,23.23,1806.57,7.08
Potato,28825.51,194134.49,15.46,877.53,0.93
Sugarcane,85467.24,736962.76,25.93,2409.65,3.35
Maize,172010.26,481209.74,33.37,762.98,5.87
Potato,166559.94,1414440.06,14.13,1464.88,6.74
Rice,66598.73,172761.27,16.58,1918.04,2.33
Maize,81622.82,200797.18,29.33,2214.25,2.73
Wheat,273798.66,351581.34,27.67,644.21,8.87
Potato,356888.38,1978071.62,37.34,2467.88,9.53
Rice,35269.4,103110.6,34.81,2294.85,1.36
Maize,435016.49,532303.51,37.73,2418.27,11.89
Wheat,139371.07,349928.93,25.05,2175.88,5.48
Wheat,268380.13,334739.87,34.06,2230.87,7.24
Rice,219509.44,513970.56,13.36,1617.42,7.33
Cotton,121503.39,539596.61,20.25,2159.68,4.48
Sugarcane,187280.6,1490479.4,30.04,1474.83,6.77
Rice,188955.07,526484.93,33.38,1484.08,7.21
Wheat,249901.06,410548.94,27.97,1537.68,9.25
Wheat,241660.56,295519.44,25.46,2491.9,8.11
Rice,121584.75,389035.25,18.53,529.67,5.64
Cotton,76286.27,227313.73,16.88,2072.34,2.7
Sugarcane,19561.76,173078.24,36.51,901.29,0.79
Maize,238341.68,497498.32,15.98,1094.7,8
Rice,149596.72,493683.28,24.19,477.17,5.99
Sugarcane,374884.59,2447830.41,36.88,1073.46,11.6
Sugarcane,39076.47,357753.53,16.14,2479.68,1.63
Potato,42489.33,277790.67,15.57,1173.55,1.34
Wheat,69458.59,136131.41,31.39,1773.31,2.58
Maize,144023.4,342336.6,21.28,565.57,4.83
Rice,54966.36,199573.64,24.2,2329.49,2.51
Wheat,179025.92,313634.08,29.52,2121.04,5.83
Potato,128918.34,933441.66,22.61,1149.85,4.41
Potato,235420.95,2541979.05,34.4,1066.62,11.99
Wheat,291644.01,443145.99,39.13,1250.99,11.62
Cotton,145127.5,221172.5,38.13,1182.77,4.7
Sugarcane,232454.53,2101520.47,27.27,867.71,9.61
Rice,80574.86,232485.14,21.93,2479.86,3.28
Rice,28968.12,89171.88,24.14,2083.2,1.16
Rice,22082.39,47877.61,21.24,889.43,0.97
Wheat,24063.94,35576.06,24.37,2459.79,0.84
Cotton,291845.53,802654.47,12.36,334.17,8.96
Maize,166827.92,226652.08,13.55,1263.37,4.44
Potato,314155.52,2046244.48,33.6,1552.87,9.97
Wheat,353621.64,330348.36,21.37,382.69,10.55
Maize,93996.1,271943.9,34.24,654.28,4.01
Potato,108251.32,789348.68,25.44,867.89,3.83
Potato,105979.63,893740.37,34.57,1884.5,4.04
Cotton,180820.03,820729.97,30.58,2367.44,5.97
Sugarcane,23034.92,142515.08,17.63,1673.98,0.68
Rice,19315.02,37004.98,24.54,1537.86,0.62
Maize,252035.89,728064.11,31.72,1480.87,8.96
Wheat,236090.32,398109.68,21.26,1071.55,9.79
Maize,73590.78,194249.22,17.41,2120.97,2.85
Sugarcane,255587.16,1559057.84,27.12,1489.69,7.33
Rice,98328.94,166331.06,19.66,806.23,2.98
Maize,276018.32,431201.68,28.64,601.03,8.94
Sugarcane,142123.74,1160961.26,19.61,2468.13,5.34
Wheat,237078.69,527741.31,37.38,338.44,9.96
Cotton,246169.57,1368630.43,21.63,2353.57,11.41
Potato,175566.67,1481993.33,37.41,780.27,6.89
Wheat,301143.99,607946.01,19.83,1746.61,10.86
Rice,23640.98,38619.02,28.92,963.37,0.89
Potato,115161.39,1282958.61,15.65,2191.58,5.82
Wheat,128369.93,324390.07,33.79,1495.58,6.29
Wheat,155365.63,337504.37,17.61,610.33,5.28
Wheat,99156.64,261203.36,36.19,893.64,4.12
Wheat,174881.51,616818.49,24.67,1004.7,8.81
Potato,147086.81,1539513.19,14.65,2249.03,6.86
Rice,47224.9,98415.1,22.18,1986.82,1.45
Sugarcane,241318.26,2549336.74,33.83,2125.09,11.43
Maize,282096.73,704123.27,14.14,414.95,10.71
Cotton,104582.18,637917.82,29.52,1573.32,4.56
Maize,94882.04,207697.96,26.2,2498.19,3.33
Maize,225741.07,502538.93,20.68,2027.44,7.73
Cotton,27814.06,106935.94,33.16,565.56,1
Potato,182890.58,1294909.42,13.47,1793.4,6.2
Rice,179691.63,748928.37,25.93,1939.71,8.24
Cotton,177470.93,458329.07,26.19,1431.35,5.18
Rice,260433.61,750466.39,14.42,473.26,11.68
Potato,218220.11,1921859.89,15.81,376.31,8.77
Maize,296856.12,739223.88,23.47,2363.18,11.24
Rice,390526.21,622133.79,27.02,866.53,10.94
Potato,54397.01,422122.99,13.49,1133.73,2.01
Potato,232102.87,1715857.13,12.33,2049.61,8.19
Sugarcane,227200.14,1566444.86,17.39,1816.37,7.36
Cotton,36574,166926,25.66,2430.84,1.13
Sugarcane,80164.02,946980.98,13.13,504.25,4.16
Maize,182211.52,363008.48,32.53,1855.22,6.65
Cotton,167562.11,650837.89,16.25,480.9,6.8
Maize,194478.05,695981.95,33.63,300.36,9.86
Sugarcane,195402.23,1553582.77,17.73,564.51,7.26
Potato,154330.59,1228309.41,21.71,1656.8,5.86
Maize,247193.19,647586.81,25.41,1787.62,9.15
Cotton,218085.91,711414.09,21.72,1264.35,7.07
Cotton,237968.77,1600131.23,12.66,401.36,10.66
Maize,274470.06,785909.94,37.44,1694.93,10.91
Cotton,215364.03,1095835.97,20.02,488.8,7.45
Potato,183799.79,1521520.21,15.81,611.8,6.99
Potato,231889.97,1815070.03,15.71,1427.67,8.56
Cotton,272573.09,692676.91,39.29,1048.82,8.84
Maize,248206.95,487453.05,15.45,1322.46,8.86
Sugarcane,173173.12,1702756.88,21.7,1697.17,7.64
Cotton,310508.89,1197041.11,13.89,652.02,9.27
Cotton,60788.95,244461.05,32.59,2264.79,2.16
Cotton,229359.31,1260040.69,28.71,1530.86,9.95
Cotton,131496.31,504303.69,26.94,348.61,4.07
Maize,297800.6,663759.4,35.96,1682.6,10.69
Sugarcane,46809.56,449770.44,28.05,1318.99,2.02
Sugarcane,14490.14,118299.86,38.75,1843.61,0.54
Rice,15016.8,43943.2,29.44,2024.87,0.68
Cotton,74730.3,339969.7,21.92,2365.46,2.92
Cotton,50168.67,219331.33,13.03,2496.36,1.81
Rice,200139.17,508040.83,32.31,1509.16,6.87
Sugarcane,153894.85,1235500.15,22.46,1535.32,5.66
Wheat,192169.93,465340.07,28.78,349.38,7.47
Potato,77666.31,611013.69,36.54,2203.38,2.72
Wheat,231654.19,518885.81,12.21,363.18,9.17
Sugarcane,159333.78,1703891.22,33.27,1691.86,7.52
Cotton,71234.68,204865.32,24.19,516.87,3.04
Wheat,133924.03,279985.97,15.47,928.84,5.09
Maize,203245.49,492454.51,28.31,608.73,8.76
Maize,270100.91,470779.09,26.91,602.27,8.32
Rice,155858.55,663641.45,35.58,464.12,6.97
Sugarcane,320006.35,2577678.65,26.6,999.34,11.76
Sugarcane,61360.73,433924.27,35.17,1232.03,2.02
Wheat,113361.42,448388.58,27.25,1321.84,6.12
Cotton,194616.96,914733.04,24.51,1267.36,7.68
Sugarcane,337692.47,2576827.53,22.39,1452.12,11.93
Wheat,194597.83,222882.17,16.86,2191.53,6.74
Wheat,151613.65,319416.35,28.35,1689.95,5.59
Potato,319269.71,2282810.29,27.24,338.03,11.11
Potato,174393.38,1341926.62,39.32,680.5,6.32
Sugarcane,389381.93,2376878.07,23.55,1067.69,11.3
Wheat,281797.9,410572.1,23.8,2387.9,9.13
Rice,59443.19,189596.81,16.59,471.77,2.43
Rice,62343.73,226516.27,28.73,1862.26,2.43
Potato,119967.13,882632.87,35.74,372.8,4.16
Sugarcane,44878.68,268511.32,18.94,1097.58,1.28
Cotton,182075.96,702874.04,12.25,1994.33,6.74
Rice,183893.77,847026.23,31.36,1056.64,10.39
Rice,128219.26,436080.74,12.88,1246.62,5.1
Potato,232835.82,1517004.18,23.46,2291.67,7.96
Potato,331604.99,2479635.01,29.16,445.57,11.79
Sugarcane,72034.72,585685.28,22.81,1460.86,2.73
Potato,149748.44,945851.56,19.3,1105.72,4.62
Maize,13712.97,60627.03,34.38,2420.39,0.79
Wheat,93876.13,192773.87,20.43,2046.12,3.17
Rice,255756.31,761083.69,17.04,568.57,9.46
Maize,205254.75,645785.25,22.88,2340.3,8.05
Cotton,246494.5,969555.5,15.69,764.67,9.51
Maize,112322.81,347577.19,31.33,486.6,5.39
Sugarcane,184220.14,2001774.86,31.88,1491.51,8.96
Cotton,201562.92,945187.08,12.41,1920.59,7.39
Cotton,111738.24,641211.76,31.46,1875.31,4.28
Potato,169557,1101483,20.37,1474.92,5.24
Maize,194303.39,405996.61,30.37,1384.02,6.73
Sugarcane,310120.99,2479659.01,31.78,2433,11.5
Rice,281539.39,799100.61,19.78,2105.23,11.21
Potato,340075.92,2549764.08,17.19,1837.01,11.84
Maize,18397.91,38302.09,35.14,729.47,0.69
Rice,252275.07,806144.93,32.7,2103.5,8.75
Maize,210397.15,779962.85,35.44,1949.52,10.79
Potato,221762.28,1992477.72,24.2,2482.46,9
Rice,165490.05,295849.95,24.78,592.59,5.29
Potato,287936.53,1809183.47,21.64,1873.65,8.84
Maize,148264.96,443935.04,25.97,2453.98,5.61
Cotton,192696.01,721953.99,30.1,1317.7,8.71
Wheat,274568.01,535821.99,34.81,1913.5,9.47
Cotton,256776.78,902073.22,17.13,2445.82,10.2
Potato,276878.22,1803321.78,23.35,1504.47,8.87
Potato,52718.77,507801.23,24.91,1837.89,2.34
Potato,275239.17,2384800.83,25.66,344.19,11.27
Rice,64312.59,237747.41,27.18,1443.26,2.95
Sugarcane,134908.79,992616.21,34.45,862.76,4.61
Potato,173719.33,1105480.67,36.82,588.74,5.43
Cotton,265069.07,884980.93,16.46,1858.92,8.69
Wheat,275218.8,544621.2,31.96,386,8.56
Potato,349307.19,2360292.81,25.42,2290.7,11.56
Potato,65717.69,557922.31,23.7,1439.1,2.67
Potato,166812.58,1162667.42,15.17,1726.11,5.68
Rice,74725.65,176294.35,13.8,857.56,2.84
Potato,254733.19,1675226.81,39.38,700.82,8.23
Cotton,94369.67,203180.33,29.99,836.26,2.95
Maize,278804.53,785175.47,24.67,811.04,10.48
Sugarcane,322147.69,2572457.31,33.33,2201.9,11.8
Potato,125785.85,866614.15,14.55,2032.15,4.14
